"Id";"指示符";"封装";"数量";"名称";"供应商和参考";
1;"H2,H3,H4,H1";"nonplated_hole_drill_2.6mm_dia_5.2mm";4;"Hole";;;
2;"U13";"DIP-14_W7.62mm";1;"74HC08";;;
3;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"150k";;;
4;"R6,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"4k7";;;
5;"R1";"R_Array_SIP9";1;"8x 10k";;;
6;"U10";"DIP-16_W7.62mm";1;"74HC139";;;
7;"SW1";"SW_PUSH_6mm_h4.3mm";1;"SW_Push";;;
8;"C3";"CP_Radial_D5.0mm_P2.00mm";1;"10µF";;;
9;"R2";"R_Array_SIP8";1;"330";;;
10;"Q1";"TO-92_Inline_Wide";1;"BS170";;;
11;"J2";"Pin_Header_Angled_1x04_Pitch2.54mm";1;"Conn_01x04";;;
12;"U11,U15";"DIP-14_W7.62mm";2;"74HC74";;;
13;"C8,C1,C2,C5,C4,C7,C6";"C_Disc_D5.0mm_W2.5mm_P5.00mm";7;"100nF";;;
14;"U12";"DIP-14_W7.62mm";1;"74HC14";;;
15;"J1";"Pin_Header_Angled_1x06_Pitch2.54mm";1;"Conn_01x06";;;
16;"D2,D3,D1";"D_DO-35_SOD27_P7.62mm_Horizontal";3;"BAT41";;;
17;"U16";"DIP-8_W7.62mm";1;"24LC1026";;;
18;"U4,U7,U3,U6";"DIP-20_W7.62mm";4;"74HC574";;;
19;"U2";"DIP-28_W15.24mm";1;"6264";;;
20;"U5";"DIP-20_W7.62mm";1;"74HC273";;;
21;"U14";"DIP-14_W7.62mm";1;"74HC02";;;
22;"U8";"DIP-16_W7.62mm";1;"74HC161";;;
23;"U9";"DIP-16_W7.62mm";1;"74HC138";;;
24;"U1";"DIP-28_W15.24mm_Socket";1;"27256";;;
25;"D4";"LED_D3.0mm";1;"LED";;;
26;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1k";;;
27;"R3";"R_Array_SIP5";1;"330";;;
28;"X1";"Osc_DIP8_DIP14_LargePads";1;"8.000MHz";;;
29;"LB1";"MyNOR-Logo-2";1;"Label";;;
30;"LB3";"img-my4th";1;"Label";;;
31;"LB2";"cc-by-sa";1;"Label";;;
